iso3c	election_date	election_type	comp12_corrected
BEL	1979-06-10	ep	10.14
BEL	1984-06-17	ep	3.23
BEL	1989-06-18	ep	7.65
BEL	1994-06-12	ep	4.24
BEL	1999-06-13	ep	0.25
BEL	2004-06-13	ep	3.13
BEL	2009-06-07	ep	1.47
BEL	2014-05-25	ep	2.69
