iso3c	ep_date	tt_last_ne	voting_days	voting_dates	includes_weekdays	multiple_days
NLD	2004-06-10	505	THU	10 June	1	0
NLD	2009-06-04	925	THU	4 June	1	0
NLD	2014-05-22	617	THU	22 May	1	0
NLD	2019-05-23	799	THU	23 May	1	0
POL	2004-06-13	372	SUN	13 June	0	0
POL	2009-06-07	595	SUN	7 June	0	0
POL	2014-05-25	959	SUN	25 May	0	0
POL	2019-05-26	1309	SUN	26 May	0	0
PRT	1987-07-19	518	SUN	19 July	0	0
PRT	1989-06-18	700	SUN	18 June	0	0
PRT	1994-06-12	980	SUN	12 June	0	0
PRT	1999-06-13	217	SUN	13 June	0	0
PRT	2004-06-13	819	SUN	13 June	0	0
PRT	2009-06-07	847	SUN	7 June	0	0
PRT	2014-05-25	1085	SUN	25 May	0	0
PRT	2019-05-26	1218	SUN	26 May	0	0
ROU	2007-11-25	190	SUN	25 November	0	0
ROU	2009-06-07	189	SUN	7 June	0	0
ROU	2014-05-25	532	SUN	25 May	0	0
ROU	2019-05-26	231	SUN	26 May	0	0
SWE	1995-09-17	308	SUN	17 September	0	0
SWE	1999-06-13	266	SUN	13 June	0	0
SWE	2004-06-13	273	SUN	13 June	0	0
SWE	2009-06-07	994	SUN	7 June	0	0
SWE	2014-05-25	1344	SUN	25 May	0	0
SWE	2019-05-26	259	SUN	26 May	0	0
SVN	2004-06-13	70	SUN	13 June	0	0
SVN	2009-06-07	259	SUN	7 June	0	0
SVN	2014-05-25	539	SUN	25 May	0	0
SVN	2019-05-26	357	SUN	26 May	0	0
SVK	2004-06-13	57	SUN	13 June	0	0
SVK	2009-06-06	63	SAT	6 June	1	0
SVK	2014-05-24	56	SAT	24 May	1	0
SVK	2019-05-25	56	SAT	25 May	1	0
GBR	1979-06-07	35	THU	7 June	1	0
GBR	1984-06-14	371	THU	14 June	1	0
GBR	1989-06-15	735	THU	15 June	1	0
GBR	1994-06-09	791	THU	9 June	1	0
GBR	1999-06-10	770	THU	10 June	1	0
GBR	2004-06-10	1099	THU	10 June	1	0
GBR	2009-06-04	1491	THU	4 June	1	0
GBR	2014-05-22	1113	THU	22 May	1	0
GBR	2019-05-23	714	THU	23 May	1	0
